Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
A15;Bakterioloogiliselt ja histoloogiliselt kinnitatud hingamiselundite tuberkuloos;Bakterioloogiliselt ja histoloogiliselt kinnitatud hingamiselundite tuberkuloos;Bakterioloogiliselt ja histoloogiliselt kinnitatud hingamiselundite tuberkuloos;;;1.01.2014;;;EPS;1;
A15.0;Kopsutuberkuloos, kinnitatud röga mikroskoopilise uuringuga, mikroobikultuuri abil või ilma;Kopsutuberkuloos, kinnitatud röga mikroskoopilise uuringuga, mikroobikultuuri abil või ilma;Kopsutuberkuloos, kinnitatud röga mikroskoopilise uuringuga, mikroobikultuuri abil või ilma;;;1.01.2014;;;EPS;1;
A15.1;Kopsutuberkuloos, kinnitatud ainult kultuuriga;Kopsutuberkuloos, kinnitatud ainult kultuuriga;Kopsutuberkuloos, kinnitatud ainult kultuuriga;;;1.01.2014;;;EPS;1;
A15.2;Kopsutuberkuloos, histoloogiliselt kinnitatud;Kopsutuberkuloos, histoloogiliselt kinnitatud;Kopsutuberkuloos, histoloogiliselt kinnitatud;;;1.01.2014;;;EPS;1;
A15.3;Kopsutuberkuloos, täpsustamata meetodil kinnitatud;Kopsutuberkuloos, täpsustamata meetodil kinnitatud;Kopsutuberkuloos, täpsustamata meetodil kinnitatud;;;1.01.2014;;;EPS;1;
A15.4;Rindkeresiseste lümfisõlmede tuberkuloos, kinnitatud bakterioloogiliselt ja histoloogiliselt;Rindkeresiseste lümfisõlmede tuberkuloos, kinnitatud bakterioloogiliselt ja histoloogiliselt;Rindkeresiseste lümfisõlmede tuberkuloos, kinnitatud bakterioloogiliselt ja histoloogiliselt;;;1.01.2014;;;EPS;1;
A15.5;Kõri-, trahhea- ja bronhituberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud;Kõri-, trahhea- ja bronhituberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud;Kõri-, trahhea- ja bronhituberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud;;;1.01.2014;;;EPS;1;
A15.6;Tuberkuloosne pleuriit, bakterioloogiliselt ja histoloogiliselt kinnitatud;Tuberkuloosne pleuriit, bakterioloogiliselt ja histoloogiliselt kinnitatud;Tuberkuloosne pleuriit, bakterioloogiliselt ja histoloogiliselt kinnitatud;;;1.01.2014;;;EPS;1;
A15.7;Hingamiselundite esmane tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud;Hingamiselundite esmane tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud;Hingamiselundite esmane tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud;;;1.01.2014;;;EPS;1;
A15.8;Muu hingamiselundite tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud;Muu hingamiselundite tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud;Muu hingamiselundite tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud;;;1.01.2014;;;EPS;1;
A15.9;Hingamiselundite täpsustamata tuberkuloos, kinnitatud bakterioloogiliselt ja histoloogiliselt;Hingamiselundite täpsustamata tuberkuloos, kinnitatud bakterioloogiliselt ja histoloogiliselt;Hingamiselundite täpsustamata tuberkuloos, kinnitatud bakterioloogiliselt ja histoloogiliselt;;;1.01.2014;;;EPS;1;
A16;Bakterioloogiliselt või histoloogiliselt kinnitamata hingamiselundite tuberkuloos;Bakterioloogiliselt või histoloogiliselt kinnitamata hingamiselundite tuberkuloos;Bakterioloogiliselt või histoloogiliselt kinnitamata hingamiselundite tuberkuloos;;;1.01.2014;;;EPS;1;
A16.0;Kopsutuberkuloos, bakterioloogiliselt ja histoloogiliselt negatiivne;Kopsutuberkuloos, bakterioloogiliselt ja histoloogiliselt negatiivne;Kopsutuberkuloos, bakterioloogiliselt ja histoloogiliselt negatiivne;;;1.01.2014;;;EPS;1;
A16.1;Kopsutuberkuloos, bakterioloogiline ja histoloogiline uuring tegemata;Kopsutuberkuloos, bakterioloogiline ja histoloogiline uuring tegemata;Kopsutuberkuloos, bakterioloogiline ja histoloogiline uuring tegemata;;;1.01.2014;;;EPS;1;
A16.2;Kopsutuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;Kopsutuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;Kopsutuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;;;1.01.2014;;;EPS;1;
A16.3;Rindkeresiseste lümfisõlmede tuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;Rindkeresiseste lümfisõlmede tuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;Rindkeresiseste lümfisõlmede tuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;;;1.01.2014;;;EPS;1;
A16.4;Kõri-, trahhea- ja bronhituberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;Kõri-, trahhea- ja bronhituberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;Kõri-, trahhea- ja bronhituberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;;;1.01.2014;;;EPS;1;
A16.5;Tuberkuloosne pleuriit, bakterioloogiline või histoloogiline kinnitus mainimata;Tuberkuloosne pleuriit, bakterioloogiline või histoloogiline kinnitus mainimata;Tuberkuloosne pleuriit, bakterioloogiline või histoloogiline kinnitus mainimata;;;1.01.2014;;;EPS;1;
