Kood;Lühinimetus;Nimetus;Pikk_nimetus (SNOMED CT FSN);Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
258450006;CSF;Liikvor;Cerebrospinal fluid sample (specimen);;1;28.04.2020;;;ELMÜ;1;Cerebrospinal fluid (Fluid)
119297000;B;Veri;Blood specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Blood (Blood)
122552005;aB;Veri, arteriaalne;Arterial blood specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Arterial blood (Blood)
122554006;cB;Veri, kapillarne;Capillary blood specimen (specimen);119297000;1;28.04.2020;;21.10.2021;ELMÜ;1;Capillary blood (Blood)
122556008;uB;Nabaväädi veri;Cord blood specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Umbilical cord blood (Blood)
703430008;auB;Nabaväädi veri, arteriaalne;Arterial cord blood specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Arterial umbilical blood (Blood)
703431007;vuB;Nabaväädi veri, venoosne;Venous cord blood specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Venous umbilical blood (Blood)
119298005;mvB;Veri, segunenud venoosne ;Mixed venous blood specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Mixed venous blood (Blood)
122555007;vB;Veri, venoosne ;Venous blood specimen (specimen);119297000;1;28.04.2020;;21.10.2021;ELMÜ;1;Venous blood (Blood)
2391000181108;BACD;ACD-veri;Blood specimen with acid citrate dextrose (specimen);122555007;2;28.04.2020;;;ELMÜ;1;
2401000181106;BLH;LH-veri;Blood specimen with lithium heparin (specimen);122555007;2;28.04.2020;;;ELMÜ;1;
2581000181102;Bme;Mikroelementide veri;Blood specimen obtained for trace elements (specimen);122555007;2;28.04.2020;;;ELMÜ;1;
445295009;BK2E/K3E;K2E/K3E-veri;Blood specimen with edetic acid (specimen);122555007;2;28.04.2020;;;ELMÜ;1;
2411000181108;Bhirudin;Hirudiin-veri;Blood specimen with hirudin (specimen);122555007;2;28.04.2020;;;ELMÜ;1;
119364003;S;Seerum;Serum specimen (specimen);122555007;2;28.04.2020;;;ELMÜ;1;Serum 
2421000181104;cS;Kapillaarne seerum;Capillary serum specimen (specimen);122554006;2;28.04.2020;;16.02.2021;ELMÜ;1;Capillary serum
2591000181100;Sme;Mikroelementide seerum;Serum specimen obtained for trace elements (specimen);122555007;2;28.04.2020;;;ELMÜ;1;
119361006;P;Plasma;Plasma specimen (specimen);122555007;2;28.04.2020;;;ELMÜ;1;Plasma
2431000181102;aP;Arteriaalne plasma;Arterial plasma specimen (specimen);122555007;2;28.04.2020;;;ELMÜ;1;Arterial plasma
2441000181109;cP;Kapillaarne plasma;Capillary plasma specimen (specimen);122554006;2;28.04.2020;;;ELMÜ;1;Capillary plasma
2451000181107;mvP;Segunenud venoosne plasma;Mixed venous plasma specimen (specimen);119298005;2;28.04.2020;;;ELMÜ;1;Mixed venous plasma
703432000;vP;Venoosne plasma;Venous plasma specimen (specimen);122555007;2;28.04.2020;;;ELMÜ;1;Venous plasma
708048008;P9NC;9NC-plasma;Plasma specimen with citrate (specimen);122555007;2;28.04.2020;;;ELMÜ;1;
2461000181105;PAH;AH-plasma;Plasma specimen with ammonium heparin (specimen);122555007;2;28.04.2020;;;ELMÜ;1;
2471000181100;PLH;LH-plasma;Plasma specimen with lithium heparin (specimen);122555007;2;28.04.2020;;;ELMÜ;1;
2481000181103;PNH;NH-plasma;Plasma specimen with sodium heparin (specimen);122555007;2;28.04.2020;;;ELMÜ;1;
2491000181101;Pgi;Glükolüüsi inhibiitoriga plasma;Plasma specimen with potassium oxalate/sodium fluoride (specimen);122555007;2;28.04.2020;;;ELMÜ;1;
708049000;PK2E/K3E;K2E/K3E-plasma;Plasma specimen with ethylenediamine tetraacetic acid (specimen);122555007;2;28.04.2020;;;ELMÜ;1;
440500007;BS;Vereplekk;Dried blood spot specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Blood spot (Blood)
472923004;CatB;Veresoonekanüüli tükk;Peripheral vascular catheter tip submitted as specimen (specimen);;1;19.11.2020;;;ELMÜ;1;"Blood catheter (Material); Versioonis 8 lisatud, asendab kehtetuks tunnistatud väärtust koodiga: 472932002"
472929000;Cc;Tsentraalkateetri tükk;Central venous catheter tip submitted as specimen (specimen);;1;19.11.2020;;;ELMÜ;1;"Catheter, central (Material); Versioonis 8 lisatud, asendab kehtetuks tunnistatud väärtust koodiga: 473409003"
122568004;Wd;Haavaeritis;Exudate specimen from wound (specimen);;1;28.04.2020;;;ELMÜ;1;Wound (Secretion)
119369008;UlcF;Haavandieritis;Specimen from ulcer (specimen);;1;28.04.2020;;;ELMÜ;1;Ulceral fluid (Fluid)
472871003;Ulc;Haavandikaabe;Swab from ulcer (specimen);;1;28.04.2020;;;ELMÜ;1;Ulcer (Secretion)
258458004;Fi;Fistulieritis;Fistula fluid sample (specimen);;1;28.04.2020;;;ELMÜ;1;Fistula (Secretion)
119371008;Abs;Abstsessimaterjal;Specimen from abscess (specimen);;1;28.04.2020;;;ELMÜ;1;Abscess (Material)
258455001;Dr;Dreenieritis;Drainage fluid sample (specimen);;1;28.04.2020;;;ELMÜ;1;Drainage (Secretion)
119312009;Ctp;Kateetri tükk;Catheter tip specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Catheter tip (Material)
119376003;Tis;Koematerjal;Tissue specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Tissue (Material)
1201985008;TisB;Koeplokk;Tissue block specimen (specimen);119376003;2;16.02.2023;;;ELMÜ;1;
430856003;TisS;Koelõik;Tissue section (specimen);119376003;2;16.02.2023;;;ELMÜ;1;
258424007;Hv;Südameklapimaterjal;Heart valve tissue (specimen);;1;28.04.2020;;;ELMÜ;1;Heart valve (Material)
