KOOD;LÜHINIMETUS;NIMETUS;PIKK_NIMETUS;VANEM_KOOD;HIERARHIA_ASTE;KEHTIVUSE_ALGUSE_KPV;KEHTIVUSE_LÕPU_KPV;VIIMANE_MUUDATUS_KPV;MUUTJA;STAATUS;SELGITUS
500;Süsteemi sisenenud arst ja retsepti koostaja ei ole sama isik.;Süsteemi sisenenud arst ja retsepti koostaja ei ole sama isik.;Süsteemi sisenenud arst ja retsepti koostaja ei ole sama isik.;;;10.07.2008;;;SOM;1;
501;Lubamatu retsepti liik.;Lubamatu retsepti liik.;Lubamatu retsepti liik.;;;10.07.2008;;;SOM;1;
502;Meditsiiniseadme kaardi digitaliseerimise volitused puuduvad.;Meditsiiniseadme kaardi digitaliseerimise volitused puuduvad.;Meditsiiniseadme kaardi digitaliseerimise volitused puuduvad.;;;10.07.2008;;;SOM;1;
503;Viga retseptinumbri sisestamisel.;Viga retseptinumbri sisestamisel.;Viga retseptinumbri sisestamisel.;;;10.07.2008;;;SOM;1;
504;Müümisest on möödunud rohkem kui 3 a.;Müümisest on möödunud rohkem kui 3 a.;Müümisest on möödunud rohkem kui 3 a.;;;10.07.2008;;;SOM;1;
505;Vale koostamise kuupäev.;Vale koostamise kuupäev.;Vale koostamise kuupäev.;;;10.07.2008;;;SOM;1;
506;Puudub retsepti väljakirjutamise õigus.;Puudub retsepti väljakirjutamise õigus.;Puudub retsepti väljakirjutamise õigus.;;;10.07.2008;;;SOM;1;
507;Puudub soodusretsepti väljakirjutamise õigus sellele ravimile.;Puudub soodusretsepti väljakirjutamise õigus sellele ravimile.;Puudub soodusretsepti väljakirjutamise õigus sellele ravimile.;;;10.07.2008;;;SOM;1;
508;Raviasutusel puudub kehtiv tegevusluba.;Raviasutusel puudub kehtiv tegevusluba.;Raviasutusel puudub kehtiv tegevusluba.;;;10.07.2008;;;SOM;1;
509;Isiku andmed kindlustatute registris puuduvad, Isikule ei saa retsepti koostada.;Isiku andmed kindlustatute registris puuduvad, Isikule ei saa retsepti koostada.;Isiku andmed kindlustatute registris puuduvad, Isikule ei saa retsepti koostada.;;;10.07.2008;;;SOM;1;
510;Vigane isikukood.;Vigane isikukood.;Vigane isikukood.;;;10.07.2008;;;SOM;1;
511;Ees- ja perekonnanime väljad täitmata.;Ees- ja perekonnanime väljad täitmata.;Ees- ja perekonnanime väljad täitmata.;;;10.07.2008;;;SOM;1;
512;EL kindlustatu puhul kohustuslikud väljad täitmata (dokumendi tüüp, number, kehtivuse lõpp, väljastanud asutuse kood, päritoluriigi kood.;EL kindlustatu puhul kohustuslikud väljad täitmata (dokumendi tüüp, number, kehtivuse lõpp, väljastanud asutuse kood, päritoluriigi kood.;EL kindlustatu puhul kohustuslikud väljad täitmata (dokumendi tüüp, number, kehtivuse lõpp, väljastanud asutuse kood, päritoluriigi kood.;;;10.07.2008;;;SOM;1;
513;Retsepti kordsus saab olla ainult 1,2 või 3.;Retsepti kordsus saab olla ainult 1,2 või 3.;Retsepti kordsus saab olla ainult 1,2 või 3.;;;10.07.2008;;;SOM;1;
514;Diagnoosikood ebareaalne.;Diagnoosikood ebareaalne.;Diagnoosikood ebareaalne.;;;10.07.2008;;;SOM;1;
