Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
11.1;ohu olemus         ;ohu olemus         ;ohu olemus         ;;;01.01.2012;;;ETSA;1;
11.3;kiirabibrigaadi kaitse         ;kiirabibrigaadi kaitse         ;kiirabibrigaadi kaitse         ;;;01.01.2012;;;ETSA;1;
11.5;ohu olemuse kirjeldus;ohu olemuse kirjeldus;ohu olemuse kirjeldus;;;01.01.2012;;;ETSA;1;
12.1;kliinilise surma tekke tunnistamine       ;kliinilise surma tekke tunnistamine       ;kliinilise surma tekke tunnistamine       ;;;01.01.2012;;;ETSA;1;
12.11;täpne aeg kliinilise surma tekkimisest kvalifitseeritud elustamisvõtete rakendamiseni minutites  ;täpne aeg kliinilise surma tekkimisest kvalifitseeritud elustamisvõtete rakendamiseni minutites  ;täpne aeg kliinilise surma tekkimisest kvalifitseeritud elustamisvõtete rakendamiseni minutites  ;;;01.01.2012;;;ETSA;1;
12.12;patsiendi seisund enne kvalifitseeritud elustamisvõtteid      ;patsiendi seisund enne kvalifitseeritud elustamisvõtteid      ;patsiendi seisund enne kvalifitseeritud elustamisvõtteid      ;;;01.01.2012;;;ETSA;1;
12.12.1;naha värvus          ;naha värvus          ;naha värvus          ;;;01.01.2012;;;ETSA;1;
12.12.2;pupillide suurus         ;pupillide suurus         ;pupillide suurus         ;;;01.01.2012;;;ETSA;1;
12.12.3;pupillide valgusreaktsioon         ;pupillide valgusreaktsioon         ;pupillide valgusreaktsioon         ;;;01.01.2012;;;ETSA;1;
12.12.4;teadvus          ;teadvus          ;teadvus          ;;;01.01.2012;;;ETSA;1;
12.12.5;omahingamine                 ;omahingamine                 ;omahingamine                 ;;;01.01.2012;;;ETSA;1;
12.12.6;hingamisteede refleksid         ;hingamisteede refleksid         ;hingamisteede refleksid         ;;;01.01.2012;;;ETSA;1;
12.12.7;palpeeritav pulss         ;palpeeritav pulss         ;palpeeritav pulss         ;;;01.01.2012;;;ETSA;1;
12.13;esmaselt diagnoositud vereringeseiskuse vorm       ;esmaselt diagnoositud vereringeseiskuse vorm       ;esmaselt diagnoositud vereringeseiskuse vorm       ;;;01.01.2012;;;ETSA;1;
12.14.1;faasilisus          ;faasilisus          ;faasilisus          ;;;01.01.2012;;;ETSA;1;
12.14.2;energia          ;energia          ;energia          ;;;01.01.2012;;;ETSA;1;
12.14.3;esmane energia;esmane energia;esmane energia;;;04.02.2015;;;ETSA;1;
12.14.4;maksimaalne energia;maksimaalne energia;maksimaalne energia;;;04.02.2015;;;ETSA;1;
