Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
1;hooldamine;hooldamine;hooldamine;;;1.01.2008;;;Eesti E-tervise SA;1;
2;imiku, väikelapse toitmine, toitumine;imiku, väikelapse toitmine, toitumine;imiku, väikelapse toitmine, toitumine;;;1.01.2008;;;Eesti E-tervise SA;1;
3;rinnaga toitmine;rinnaga toitmine;rinnaga toitmine;;;1.01.2008;;;Eesti E-tervise SA;1;
4;õnnetuste vältimine;õnnetuste vältimine;õnnetuste vältimine;;;1.01.2008;;;Eesti E-tervise SA;1;
5;rahhiidi profülaktika;rahhiidi profülaktika;rahhiidi profülaktika;;;1.01.2008;;;Eesti E-tervise SA;1;
6;sõeltestide tulemused;sõeltestide tulemused;sõeltestide tulemused;;;1.01.2008;;;Eesti E-tervise SA;1;
7;rahutu imikuga toimetulek;rahutu imikuga toimetulek;rahutu imikuga toimetulek;;;1.01.2008;;;Eesti E-tervise SA;1;
8;potireziimi õpetus;potireziimi õpetus;potireziimi õpetus;;;1.01.2008;;;Eesti E-tervise SA;1;
9;suuhügieeni õpetus;suuhügieeni õpetus;suuhügieeni õpetus;;;1.01.2008;;;Eesti E-tervise SA;1;hammaste seisundi kontroll
10;isiklik hügieen;isiklik hügieen;isiklik hügieen;;;1.01.2008;;;Eesti E-tervise SA;1;
11;päevareziim;päevareziim;päevareziim;;;1.01.2008;;;Eesti E-tervise SA;1;
12;toitumine;toitumine;toitumine;;;1.01.2008;;;Eesti E-tervise SA;1;
13;nägemise tervishoid;nägemise tervishoid;nägemise tervishoid;;;1.01.2008;;;Eesti E-tervise SA;1;
14;silmaarstile suunamine;silmaarstile suunamine;silmaarstile suunamine;;;1.01.2008;;;Eesti E-tervise SA;1;
15;füüsiline aktiivsus;füüsiline aktiivsus;füüsiline aktiivsus;;;1.01.2008;;;Eesti E-tervise SA;1;
16;riskikäitumine;riskikäitumine;riskikäitumine;;;1.01.2008;;;Eesti E-tervise SA;1;küsimustikud: narko, suguelu, kodu-, kooli- vägivald
17;traumad ja õnnetusjuhtumid;traumad ja õnnetusjuhtumid;traumad ja õnnetusjuhtumid;;;1.01.2008;;;Eesti E-tervise SA;1;
18;seksuaalnõustamine;seksuaalnõustamine;seksuaalnõustamine;;;1.01.2008;;;Eesti E-tervise SA;1;
19;pereplaneerimine;pereplaneerimine;pereplaneerimine;;;1.01.2008;;;Eesti E-tervise SA;1;
20;kutsealane nõustamine;kutsealane nõustamine;kutsealane nõustamine;;;1.01.2008;;;Eesti E-tervise SA;1;
21;psühhosotsiaalne käitumine;psühhosotsiaalne käitumine;psühhosotsiaalne käitumine;;;1.01.2008;;;Eesti E-tervise SA;1;Alates 8a registreeritakse muudatused võrreldes eelmise korraga
