Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus
1;;abikaasa;;;0;31.05.2007;;;1;
2;;tütar;;;0;31.05.2007;;;1;
3;;poeg;;;0;31.05.2007;;;1;
4;;ema;;;0;31.05.2007;;;1;
5;;isa;;;0;31.05.2007;;;1;
6;;õde;;;0;31.05.2007;;;1;
7;;vend;;;0;31.05.2007;;;1;
8;;vanaema;;;0;31.05.2007;;;1;
9;;vanaisa;;;0;31.05.2007;;;1;
10;;lapselaps;;;0;31.05.2007;;;1;
11;;muu sugulane;;;0;31.05.2007;;;1;
12;;eestkostja;;;0;31.05.2007;;;1;
13;;elukaaslane;;;0;31.05.2007;;;1;
14;;naaber;;;0;31.05.2007;;;1;
15;;töökaaslane;;;0;31.05.2007;;;1;
16;;tuttav;;;0;31.05.2007;;;1;
17;;sotsiaaltöötaja;;;0;16.05.2019;;;1;
18;;kohaliku omavalitsuse esindaja;;;0;16.05.2019;;;1;
99;;muu;;;0;31.05.2007;;;1;
