Kood;Lühinimetus;Nimetus;Pikk_nimetus (SNOMED CT FSN);Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
421283008;;Aju primaarne lümfoom;Primary lymphoma of brain associated with acquired immunodeficiency syndrome (disorder);;;01.01.2011;;01.08.2019;Terviseamet;1;
421666009;;Aju toksoplasmoos (lastel ?1 kuu vanustel);Toxoplasmosis associated with acquired immunodeficiency syndrome (disorder);;;01.01.2011;01.08.2019;;Terviseamet;0;Versioonis 2 tunnistatud kehtetuks, seda asendab 771126002 Infection caused by Toxoplasma gondii co-occurrent with acquired immunodeficiency syndrome (disorder)
771126002;;Aju toksoplasmoos (lastel ?1 kuu vanustel);Infection caused by Toxoplasma gondii co-occurrent with acquired immunodeficiency syndrome (disorder);;;01.08.2019;;;Terviseamet;1;Versioonis 2 lisatud. Asendab kehtetuks tunnistatud väärtust 421666009
312149008;;Bronhhide, trahhea või kopsude kandidiaas;Fungal respiratory infection (disorder);;;01.01.2011;;01.08.2019;Terviseamet;1;
422052002;;Burkitti lümfoom;Burkitt's lymphoma associated with acquired immunodeficiency syndrome (disorder);;;01.01.2011;01.08.2019;;Terviseamet;0;Versioonis 2 tunnistatud kehtetuks, seda asendab 713897006 Burkitt lymphoma co-occurrent with human immunodeficiency virus infection (disorder)
713897006;;Burkitti lümfoom;Burkitt lymphoma co-occurrent with human immunodeficiency virus infection (disorder);;;01.08.2019;;;Terviseamet;1;Versioonis 2 lisatud. Asendab kehtetuks tunnistatud väärtust 422052002
22455005;;Tsütomegaloviirus-retiniit (nägemise kaotusega);Cytomegaloviral retinitis (disorder);;;01.01.2011;;01.08.2019;Terviseamet;1;
421827003;;Entsefalopaatia, HIV-nakkuse poolt põhjustatud;Encephalopathy associated with acquired immunodeficiency syndrome (disorder);;;01.01.2011;;01.08.2019;Terviseamet;1;
420991002;;"Herpes simplex-nakkus: krooniline haavand (kestvusega >1 kuu); või bronhiit, pneumoniit või ösofagiit >1 kuu vanusel patsiendil";Herpes simplex associated with acquired immunodeficiency syndrome (disorder);;;01.01.2011;01.08.2019;;Terviseamet;0;Versioonis 2 tunnistatud kehtetuks, seda asendab 713730000 Infection caused by herpes simplex virus co-occurrent with human immunodeficiency virus infection (disorder)
713730000;;"Herpes simplex-nakkus: krooniline haavand (kestvusega >1 kuu); või bronhiit, pneumoniit või ösofagiit >1 kuu vanusel patsiendil";Infection caused by herpes simplex virus co-occurrent with human immunodeficiency virus infection (disorder);;;01.08.2019;;;Terviseamet;1;Versioonis 2 lisatud. Asendab kehtetuks tunnistatud väärtust 420991002
420945005;;Histoplasmoos, dissemineerunud või kopsuväline;Histoplasmosis associated with acquired immunodeficiency syndrome (disorder);;;01.01.2011;;01.08.2019;Terviseamet;1;
428875002;;Hulgi- või korduvad bakternakkused lastel (kuni 13a);Recurrent bacterial infection (disorder);;;01.01.2011;;01.08.2019;Terviseamet;1;
421835000;;Immuunoblastiline lümfoom;Immunoblastic lymphoma associated with acquired immunodeficiency syndrome (disorder);;;01.01.2011;01.08.2019;;Terviseamet;0;Versioonis 2 tunnistatud kehtetuks, seda asendab 713718006 Diffuse non-Hodgkin immunoblastic lymphoma co-occurrent with human immunodeficiency virus infection (disorder)
713718006;;Immuunoblastiline lümfoom;Diffuse non-Hodgkin immunoblastic lymphoma co-occurrent with human immunodeficiency virus infection (disorder);;;01.08.2019;;;Terviseamet;1;Versioonis 2 lisatud. Asendab kehtetuks tunnistatud väärtust 421835000
44274007;;Interstitsiaalne lümfoidne pneumoonia lastel (<13a);Lymphoid interstitial pneumonia (disorder);;;01.01.2011;;01.08.2019;Terviseamet;1;
363354003;;Invasiivne emakakaela vähk täiskasvanul või noorukil (?13a);Malignant tumor of cervix (disorder);;;01.01.2011;01.08.2019;;Terviseamet;0;Versioonis 2 tunnistatud kehtetuks, seda asendab 423973006 Carcinoma of uterine cervix, invasive (disorder)
423973006;;Invasiivne emakakaela vähk täiskasvanul või noorukil (?13a);Carcinoma of uterine cervix, invasive (disorder);;;01.08.2019;;;Terviseamet;1;Versioonis 2 lisatud. Asendab kehtetuks tunnistatud väärtust 363354003
421510000;;Isosporiaas, intestinaalne, diarröaga kulgev, >1 kuu kestev;Isosporiasis associated with acquired immunodeficiency syndrome (disorder);;;01.01.2011;01.08.2019;;Terviseamet;0;Versioonis 2 tunnistatud kehtetuks, seda asendab 771127006 Infection caused by Isospora co-occurrent with acquired immunodeficiency syndrome (disorder)
771127006;;Isosporiaas, intestinaalne, diarröaga kulgev, >1 kuu kestev;Infection caused by Isospora co-occurrent with acquired immunodeficiency syndrome (disorder);;;01.08.2019;;;Terviseamet;1;Versioonis 2 lisatud. Asendab kehtetuks tunnistatud väärtust 421510000
420524008;;Kaposi sarkoom;Kaposi's sarcoma associated with acquired immunodeficiency syndrome (disorder);;;01.01.2011;;01.08.2019;Terviseamet;1;
422337001;;Koksidioidomükoos, dissemineerunud või kopsuväline;Coccidioidomycosis associated with acquired immunodeficiency syndrome (disorder);;;01.01.2011;;01.08.2019;Terviseamet;1;
420818005;;Kopsuväline Mycobacterium tuberculosis'e nakkus;Mycobacteriosis associated with acquired immunodeficiency syndrome (disorder);;;01.01.2011;01.08.2019;;Terviseamet;0;Versioonis 2 tunnistatud kehtetuks, seda asendab 423997002 Tuberculosis, extrapulmonary (disorder)
423997002;;Kopsuväline Mycobacterium tuberculosis'e nakkus;Tuberculosis, extrapulmonary (disorder);;;01.08.2019;;;Terviseamet;1;Versioonis 2 lisatud. Asendab kehtetuks tunnistatud väärtust 420818005
276288002;;Korduv mitte-tüfoidse salmonella-etioloogiaga septitseemia;Recurrent salmonella septicemia (disorder);;;01.01.2011;;01.08.2019;Terviseamet;1;
