Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus;
AIM;AIM;Laboriuuringu eesmärk;Laboriuuringu eesmärk;;0;03.07.2018;;;ELMÜ;1;;
DISP;DISP;Haigusega seotud geenipaneel;Haigusega seotud geenipaneel;;0;03.07.2018;;;ELMÜ;1;;
J/E;J/E;Arsti otsus: jah, ei;Arsti otsus: jah, ei;;0;03.07.2018;;;ELMÜ;1;;
KYLV;KYLV;Külviuuringu vastus;Külviuuringu vastus;;0;03.07.2018;;;ELMÜ;1;;
MAT;MAT;Proovimaterjali tüüp;Proovimaterjali tüüp;;0;03.07.2018;;;ELMÜ;1;;
MENOP;MENOP;Menopausaalne staatus;Menopausaalne staatus;;0;03.07.2018;;;ELMÜ;1;;
MENSTR;MENSTR;Menstruatsioonitsükli faas;Menstruatsioonitsükli faas;;0;03.07.2018;;;ELMÜ;1;;
MIKR;MIKR;Mikrobioloogilise uuringu vastus;Mikrobioloogilise uuringu vastus;;0;03.07.2018;;;ELMÜ;1;;
N/P;N/P;Kvalitatiivse uuringu vastus: negatiivne, positiivne;Kvalitatiivse uuringu vastus: negatiivne, positiivne;;0;03.07.2018;;;ELMÜ;1;;
N/Pp/P;N/Pp/P;Kvalitatiivse uuringu vastus: negatiivne, piiripealne, positiivne;Kvalitatiivse uuringu vastus: negatiivne, piiripealne, positiivne;;0;03.07.2018;;;ELMÜ;1;;
Paneel;Paneel;Kompleksanalüüs;Kompleksanalüüs;;0;03.07.2018;;;ELMÜ;1;;
PmAd;PmAd;Proovimaterjali adekvaatsus;Proovimaterjali adekvaatsus;;0;03.07.2018;;;ELMÜ;1;;
PVA;PVA;Proovivõtu aeg;Proovivõtu aeg;;0;03.07.2018;;;ELMÜ;1;;
QN;QN;Kvantitatiivne tulemus;Kvantitatiivne tulemus;;0;03.07.2018;;;ELMÜ;1;;
STATUS;STATUS;Patsiendi staatus;Patsiendi staatus;;0;03.07.2018;;;ELMÜ;1;;
T/M/R;T/M/R;Antibiootikumtundlikkuse uuringu vastus;Antibiootikumtundlikkuse uuringu vastus;;0;03.07.2018;;;ELMÜ;1;;
Tekst;Tekst;Tekstvastus;Tekstvastus;;0;03.07.2018;;;ELMÜ;1;;
Tiiter;Tiiter;Tiiter;Tiiter;;0;03.07.2018;;;ELMÜ;1;;
WL;WL;Organsiirdamise ooteleht;Organsiirdamise ooteleht;;0;03.07.2018;;;ELMÜ;1;;
