Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
FPE00;Südame tehisrütmuri implantatsioon transvenoosse vatsakese elektroodiga;Südame tehisrütmuri implantatsioon transvenoosse vatsakese elektroodiga;Südame tehisrütmuri implantatsioon transvenoosse vatsakese elektroodiga;;;1.01.2003;;;Sotsiaalministeerium, Eesti Haigekassa;1;kardiostimulaatori paigaldus
FPE10;Südame tehisrütmuri implantatsioon transvenoosse koja elektroodiga;Südame tehisrütmuri implantatsioon transvenoosse koja elektroodiga;Südame tehisrütmuri implantatsioon transvenoosse koja elektroodiga;;;1.01.2003;;;Sotsiaalministeerium, Eesti Haigekassa;1;kardiostimulaatori paigaldus
FPE20;Südame tehisrütmuri implantatsioon transvenoosse koja ja vatsakese elektroodiga;Südame tehisrütmuri implantatsioon transvenoosse koja ja vatsakese elektroodiga;Südame tehisrütmuri implantatsioon transvenoosse koja ja vatsakese elektroodiga;;;1.01.2003;;;Sotsiaalministeerium, Eesti Haigekassa;1;kardiostimulaatori paigaldus
FPE30;Südame tehisrütmuri vahetus ;Südame tehisrütmuri vahetus ;Südame tehisrütmuri vahetus ;;;1.01.2003;;;Sotsiaalministeerium, Eesti Haigekassa;1;kardiostimulaatori paigaldus
FPE40;Südame tehisrütmuri elektroodi vahetus;Südame tehisrütmuri elektroodi vahetus;Südame tehisrütmuri elektroodi vahetus;;;1.01.2003;;;Sotsiaalministeerium, Eesti Haigekassa;1;kardiostimulaatori paigaldus
FPE96;Südame tehisrütmuri muu implantatsioon või vahetus;Südame tehisrütmuri muu implantatsioon või vahetus;Südame tehisrütmuri muu implantatsioon või vahetus;;;1.01.2003;;;Sotsiaalministeerium, Eesti Haigekassa;1;kardiostimulaatori paigaldus
FPF00;Epikardiaalse tehisrütmuri implantatsioon vatsakese elektroodiga;Epikardiaalse tehisrütmuri implantatsioon vatsakese elektroodiga;Epikardiaalse tehisrütmuri implantatsioon vatsakese elektroodiga;;;1.01.2003;;;Sotsiaalministeerium, Eesti Haigekassa;1;kardiostimulaatori paigaldus
FPF10;Epikardiaalse tehisrütmuri implantatsioon koja elektroodiga;Epikardiaalse tehisrütmuri implantatsioon koja elektroodiga;Epikardiaalse tehisrütmuri implantatsioon koja elektroodiga;;;1.01.2003;;;Sotsiaalministeerium, Eesti Haigekassa;1;kardiostimulaatori paigaldus
FPF20;Epikardiaalse tehisrütmuri implantatsioon koja ja vatsakese elektroodiga;Epikardiaalse tehisrütmuri implantatsioon koja ja vatsakese elektroodiga;Epikardiaalse tehisrütmuri implantatsioon koja ja vatsakese elektroodiga;;;1.01.2003;;;Sotsiaalministeerium, Eesti Haigekassa;1;kardiostimulaatori paigaldus
FPF30;Epikardiaalse tehisrütmuri pulsi generaatori vahetus ;Epikardiaalse tehisrütmuri pulsi generaatori vahetus ;Epikardiaalse tehisrütmuri pulsi generaatori vahetus ;;;1.01.2003;;;Sotsiaalministeerium, Eesti Haigekassa;1;kardiostimulaatori paigaldus
