Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
A;teadmata;teadmata;teadmata;;0;1.01.2012;;;EKL,TA;1;
B;alkohol;alkohol;alkohol;;0;1.01.2012;;;EKL,TA;1;
B1;surrogaat;surrogaat;surrogaat;B;1;1.01.2012;;;EKL,TA;1;
C;narkootiline aine;narkootiline aine;narkootiline aine;;0;1.01.2012;;;EKL,TA;1;
D;kemikaal;kemikaal;kemikaal;;0;1.01.2012;;;EKL,TA;1;
E;ravim;ravim;ravim;;0;1.01.2012;;;EKL,TA;1;
E1;antidepressant / uinuti / rahusti;antidepressant / uinuti / rahusti;antidepressant / uinuti / rahusti;E;1;1.01.2012;;;EKL,TA;1;
E2;südameravim;südameravim;südameravim;E;1;1.01.2012;;;EKL,TA;1;
E3;muu (täpsustus);muu (täpsustus);muu (täpsustus);E;1;1.01.2012;;;EKL,TA;1;
F;taim/seen;taim/seen;taim/seen;;0;1.01.2012;;;EKL,TA;1;
G;muu (täpsustus);muu (täpsustus);muu (täpsustus);;0;1.01.2012;;;EKL,TA;1;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
