Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
DGN;diagnoos;diagnoos;diagnoos;0;0;07.09.2007;;;;1;
DEC;otsus;otsus;otsus;0;0;07.09.2007;;;;1;
ANA;analüüs;analüüs;analüüs;0;0;07.09.2007;;;;1;
ALL;allergia;allergia;allergia;0;0;07.09.2007;;;;1;
PRGN;rasedus;rasedus;rasedus;0;0;07.09.2007;;;;1;
ANABL;veregrupp;veregrupp;veregrupp;0;0;07.09.2007;19.11.2021;;;0;Vale kood, teadaolevalt pole kasutuses olnud. Selle asemel BL
BL;veregrupi määramine;veregrupi määramine;veregrupi määramine;0;0;19.11.2021;;;;1;
ANARH;reesusfaktor;reesusfaktor;reesusfaktor;0;0;07.09.2007;19.11.2021;;;0;Vale kood, teadaolevalt pole kasutuses olnud. Selle asemel RH
RH;reesuse määramine;reesuse määramine;reesuse määramine;0;0;19.11.2021;;;;1;
BSTATE;vastsündinu seisund haiglast väljakirjutamisel;vastsündinu seisund haiglast väljakirjutamisel;vastsündinu seisund haiglast väljakirjutamisel;0;0;07.09.2007;;;;1;
DISABL;puude raskusaste;puude raskusaste;puude raskusaste;0;0;07.09.2007;;;;1;
WORKLOST;töövõimekaotuse protsent;töövõimekaotuse protsent;töövõimekaotuse protsent;0;0;07.09.2007;;;;1;
DRUG;ravimi väljastamine;ravimi väljastamine;ravimi väljastamine;0;0;26.11.2009;;;;1;
PATNUMB;patsientide eeldatav arv;patsientide eeldatav arv;patsientide eeldatav arv;0;0;09.12.2013;;;;1;
PRIORITY;kiirabi väljakutse prioriteedi muudatus;kiirabi väljakutse prioriteedi muudatus;kiirabi väljakutse prioriteedi muudatus;0;0;12.12.2013;;;;1;
PROC;uuring;uuring;uuring;0;0;05.03.2014;;;;1;
RAD;radiatsiooni tase;radiatsiooni tase;radiatsiooni tase;0;0;22.05.2014;;;;1;
SOLD_PACKAGES;müüdud pakendite arv;müüdud pakendite arv;müüdud pakendite arv;0;0;03.02.2016;;;;1;
PROC_QUAL_INDIC;uuringu kvalitatiivsed näitajad;uuringu kvalitatiivsed näitajad;uuringu kvalitatiivsed näitajad;0;0;01.04.2016;;;;1;
REACH_CECUM;umbsoolde jõudmine;umbsoolde jõudmine;umbsoolde jõudmine;0;0;01.04.2016;;;;1;
REM_OF_COLO;koloskoobi väljatoomise aeg;koloskoobi väljatoomise aeg;koloskoobi väljatoomise aeg;0;0;01.04.2016;;;;1;
MSHT;meditsiiniseadme hüvitamise tingimuse muutmise põhjus;meditsiiniseadme hüvitamise tingimuse muutmise põhjus;meditsiiniseadme hüvitamise tingimuse muutmise põhjus;0;0;12.04.2016;;;;1;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
