Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
EH;ehhokardiograafia;ehhokardiograafia;ehhokardiograafia;;;1.01.2009;;;Eesti Radioloogia Ühing;1;
ES;endoskoopia;endoskoopia;endoskoopia;;;1.01.2009;;;Eesti Radioloogia Ühing;1;
IO;intraoraalne hambaülesvõte;intraoraalne hambaülesvõte;intraoraalne hambaülesvõte;;;1.01.2009;;;Eesti Radioloogia Ühing;1;
AK;kardioangiograafia;kardioangiograafia;kardioangiograafia;;;1.01.2009;;;Eesti Radioloogia Ühing;1;
KT;kompuutertomograafia (KT);kompuutertomograafia (KT);kompuutertomograafia (KT);;;1.01.2009;;;Eesti Radioloogia Ühing;1;
RT;kompuutertomograafia (KT) kiiritusravi planeerimiseks/simuleerimiseks;kompuutertomograafia (KT) kiiritusravi planeerimiseks/simuleerimiseks;kompuutertomograafia (KT) kiiritusravi planeerimiseks/simuleerimiseks;;;1.01.2009;;;Eesti Radioloogia Ühing;1;
AR;kuvamine arkoskoobiga;kuvamine arkoskoobiga;kuvamine arkoskoobiga;;;1.01.2009;;;Eesti Radioloogia Ühing;1;
MR;magnetresonantstomograafia (MRT);magnetresonantstomograafia (MRT);magnetresonantstomograafia (MRT);;;1.01.2009;;;Eesti Radioloogia Ühing;1;
FM;makrofotograafia;makrofotograafia;makrofotograafia;;;1.01.2009;;;Eesti Radioloogia Ühing;1;
MA;makrofotograafia patoloogias;makrofotograafia patoloogias;makrofotograafia patoloogias;;;1.01.2009;;;Eesti Radioloogia Ühing;1;
MG;mammograafia;mammograafia;mammograafia;;;1.01.2009;;;Eesti Radioloogia Ühing;1;
FO;mikrofotograafia operatsioonimikroskoobiga;mikrofotograafia operatsioonimikroskoobiga;mikrofotograafia operatsioonimikroskoobiga;;;1.01.2009;;;Eesti Radioloogia Ühing;1;
MI;mikrofotograafia patoloogias;mikrofotograafia patoloogias;mikrofotograafia patoloogias;;;1.01.2009;;;Eesti Radioloogia Ühing;1;
AP;perifeerne angiograafia;perifeerne angiograafia;perifeerne angiograafia;;;1.01.2009;;;Eesti Radioloogia Ühing;1;
PT;PET, PET-KT;PET, PET-KT;PET, PET-KT;;;1.01.2009;;;Eesti Radioloogia Ühing;1;
RG;röntgen;röntgen;röntgen;;;1.01.2009;;;Eesti Radioloogia Ühing;1;
ST;sintigraafia, SPET, SPET-KT;sintigraafia, SPET, SPET-KT;sintigraafia, SPET, SPET-KT;;;1.01.2009;;;Eesti Radioloogia Ühing;1;
UH;ultraheli;ultraheli;ultraheli;;;1.01.2009;;;Eesti Radioloogia Ühing;1;
