Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
A;närvisüsteem;närvisüsteem;närvisüsteem;;0;1.01.2008;;;Eesti E-tervise SA;1;
AA;kolju ja intrakraniaalsed struktuurid;kolju ja intrakraniaalsed struktuurid;kolju ja intrakraniaalsed struktuurid;A;1;1.01.2008;;;Eesti E-tervise SA;1;
AB;seljaaju ja närvijuured;seljaaju ja närvijuured;seljaaju ja närvijuured;A;1;1.01.2008;;;Eesti E-tervise SA;1;
AC;perifeersed närvid;perifeersed närvid;perifeersed närvid;A;1;1.01.2008;;;Eesti E-tervise SA;1;
AD;autonoomne närvisüsteem;autonoomne närvisüsteem;autonoomne närvisüsteem;A;1;1.01.2008;;;Eesti E-tervise SA;1;
AX;närvisüsteemi laiaulatuslik kiiritusravi;närvisüsteemi laiaulatuslik kiiritusravi;närvisüsteemi laiaulatuslik kiiritusravi;A;1;1.01.2008;;;Eesti E-tervise SA;1;ainult radioloogiliste uuringute puhul
B;endokriinsüsteem;endokriinsüsteem;endokriinsüsteem;;0;1.01.2008;;;Eesti E-tervise SA;1;
BA;kilpnääre ;kilpnääre ;kilpnääre ;B;1;1.01.2008;;;Eesti E-tervise SA;1;
BB;kõrvalkilpnääre;kõrvalkilpnääre;kõrvalkilpnääre;B;1;1.01.2008;;;Eesti E-tervise SA;1;
BC;neerupealis;neerupealis;neerupealis;B;1;1.01.2008;;;Eesti E-tervise SA;1;
BD;karotiidkeha;karotiidkeha;karotiidkeha;B;1;1.01.2008;;;Eesti E-tervise SA;1;
BX;muud sisenõristusnäärmete minimaalinvasiivsed radioloogilised menetlused;muud sisenõristusnäärmete minimaalinvasiivsed radioloogilised menetlused;muud sisenõristusnäärmete minimaalinvasiivsed radioloogilised menetlused;B;1;1.01.2008;;;Eesti E-tervise SA;1;ainult radioloogiliste uuringute puhul
C;silm ja külgnevad struktuurid;silm ja külgnevad struktuurid;silm ja külgnevad struktuurid;;0;1.01.2008;;;Eesti E-tervise SA;1;
CA;silmakoobas;silmakoobas;silmakoobas;C;1;1.01.2008;;;Eesti E-tervise SA;1;
CB;silmalaug;silmalaug;silmalaug;C;1;1.01.2008;;;Eesti E-tervise SA;1;
CC;pisaraaparaat;pisaraaparaat;pisaraaparaat;C;1;1.01.2008;;;Eesti E-tervise SA;1;
CD;silmamuna;silmamuna;silmamuna;C;1;1.01.2008;;;Eesti E-tervise SA;1;
CE;silmaliigutajalihas;silmaliigutajalihas;silmaliigutajalihas;C;1;1.01.2008;;;Eesti E-tervise SA;1;
CF;konjunktiiv;konjunktiiv;konjunktiiv;C;1;1.01.2008;;;Eesti E-tervise SA;1;
