Kood;Lühinimetus;Nimetus;Pikk_nimetus (SNOMED CT FSN);Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
409799006;;ESBL-A;Extended spectrum beta-lactamase-producing bacteria (organism);;0;22.12.2020;;31.05.2021;Eesti Laborimeditsiini Ühing;1;Laiendatud toimespektriga beetalaktamaasi A produtseeriv tüvi
870561008;;ESBL-M;AmpC beta-lactamase producing bacteria (organism);;0;22.12.2020;;31.05.2021;Eesti Laborimeditsiini Ühing;1;Laiendatud toimespektriga beetalaktamaasi M (AmpC) produtseeriv tüvi
870562001;;MBL;Metallo-beta-lactamase producing bacteria (organism);;0;22.12.2020;;31.05.2021;Eesti Laborimeditsiini Ühing;1;Metallobeetalaktamaasi produtseeriv tüvi
3281000181108;;KPC;Klebsiella pneumoniae carbapenemase (KPC) producing bacteria (organism);;0;22.12.2020;;31.05.2021;Eesti Laborimeditsiini Ühing;1;KPC tüüpi karbapenemaasi produtseeriv tüvi
773734006;;OXA-48 tüüpi;OXA-48 carbapenemase-producing bacteria (organism);;0;22.12.2020;;31.05.2021;Eesti Laborimeditsiini Ühing;1;OXA-48 tüüpi karbapenemaasi produtseeriv tüvi
115329001;;MRSA;Methicillin resistant Staphylococcus aureus (organism);;0;22.12.2020;;;Eesti Laborimeditsiini Ühing;1;Metitsilliinresistentne Staphylococcus aureus
113727004;;VRE;Vancomycin resistant Enterococcus (organism);;0;22.12.2020;;;Eesti Laborimeditsiini Ühing;1;Vankomütsiinresistentne enterokokk
409807008;;PNSP;Penicillin resistant Streptococcus pneumoniae (organism);;0;22.12.2020;30.05.2023;;Eesti Laborimeditsiini Ühing;0;Penitsilliinile mitte-tundlik Streptococcus pneumoniae
710891006;;MRS;Methicillin resistant Staphylococcus (organism);;0;22.12.2020;;;Eesti Laborimeditsiini Ühing;1;Metitsilliinresistentne stafülokokk
406605001;;GISA;Glycopeptide intermediate Staphylococcus aureus (organism);;0;22.12.2020;;;Eesti Laborimeditsiini Ühing;1;Glükopeptiidide suhtes mõõdukalt tundlik Staphylococcus aureus
406962002;;VISA;Vancomycin intermediate Staphylococcus aureus (organism);;0;22.12.2020;;;Eesti Laborimeditsiini Ühing;1;Vankomütsiini suhtes mõõdukalt tundlik Staphylococcus aureus
404679009;;GRSA;Glycopeptide resistant Staphylococcus aureus (organism);;0;22.12.2020;;;Eesti Laborimeditsiini Ühing;1;Glükopeptiidresistentne Staphylococcus aureus
404680007;;VRSA;Vancomycin resistant Staphylococcus aureus (organism);;0;22.12.2020;;;Eesti Laborimeditsiini Ühing;1;Vankomütsiinresistentne Staphylococcus aureus
713923001;;MRSE;Methicillin resistant Staphylococcus epidermidis (organism);;0;22.12.2020;;;Eesti Laborimeditsiini Ühing;1;Metitsilliinresistentne Staphylococcus epidermidis
3291000181105;;Beeta-laktamaas positiivne;Beta-lactamase producing bacteria (organism);;0;22.12.2020;31.05.2021;;Eesti Laborimeditsiini Ühing;0;Penitsillinaasi produtseeriv tüvi
3641000181100;;Beeta-laktamaas;Beta-lactamase producing bacteria (organism);;0;31.05.2021;;;Eesti Laborimeditsiini Ühing;1;Penitsillinaasi produtseeriv tüvi
710564002;;PVL;Panton-Valentine leukocidin producing Staphylococcus aureus (organism);;0;22.12.2020;;31.05.2021;Eesti Laborimeditsiini Ühing;1;Panton-Valentine Leukocidin-positiivne Staphylococcus aureus tüvi
734350003;;ESBL-CARBA;Carbapenemase-producing bacteria (organism);;0;22.12.2020;;31.05.2021;Eesti Laborimeditsiini Ühing;1;Karbapenemaasi produtseeriv tüvi
713351000;;MDR;Multidrug-resistant bacteria (organism);;0;22.12.2020;;;Eesti Laborimeditsiini Ühing;1;Multiresistentne tüvi (multidrug resistant)
714789002;;XDR;Extensively antimicrobial drug resistant bacteria (organism);;0;22.12.2020;;;Eesti Laborimeditsiini Ühing;1;Ulatuslikult resistentne tüvi (extensively drug resistant)
714792003;;PDR;Pandrug-resistant bacteria (organism);;0;22.12.2020;;;Eesti Laborimeditsiini Ühing;1;Panresistentne tüvi (pandrug resistant)
76781000181101;;ESBL-A/M ;Extended spectrum beta-lactamase and/or AmpC-producing bacteria (organism)|;;0;30.05.2023;;;Eesti Laborimeditsiini Ühing;1;Laiendatud toimespektriga beetalaktamaasi A ja/või M produtseeriv tüvi
