Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
TL;terviseloo teenused;terviseloo teenused;terviseloo teenused;0;0;07.09.2007;;;;1;
PT;patsiendi üldandmete teenused;patsiendi üldandmete teenused;patsiendi üldandmete teenused;0;0;07.09.2007;;;;1;
AT;aegkriitiliste andmete teenused;aegkriitiliste andmete teenused;aegkriitiliste andmete teenused;0;0;07.09.2007;;;;1;
KT;tervsekontrolli kaardi teenused;tervsekontrolli kaardi teenused;lapse tervisekontrolli kaardi teenused;0;0;07.09.2007;;;;1;
JP;juurdepääsuõiguste teenused;juurdepääsuõiguste teenused;juurdepääsuõiguste teenused;0;0;07.09.2007;;;;1;
DL_PORTAL;patsiendiportaali teenused;patsiendiportaali teenused;patsiendiportaali teenused;0;0;07.09.2007;;;;1;
TA;THA liidese teenused;THA liidese teenused;THA liidese teenused;0;0;30.06.2008;;;;1;
RK;Rasedakaardi teenused;Rasedakaardi teenused;Rasedakaardi teenused;0;0;25.03.2009;;;;1;
DENT;Hambaravi ja ortodontia teenused;Hambaravi ja ortodontia teenused;Hambaravi ja ortodontia teenused;0;0;26.11.2009;;;;1;
DR;digiregistratuuri teenused;digiregistratuuri teenused;digiregistratuuri teenused;0;0;16.06.2010;;;;1;
KIT;kiirabi kesksüsteemi teenused;kiirabi kesksüsteemi teenused;kiirabi kesksüsteemi teenused;0;0;31.03.2011;;;;1;
EMR;häirekeskuse teenused;häirekeskuse teenused;häirekeskuse teenused;0;0;20.05.2011;;;;1;
NAKIS;NAKIS teenused;NAKIS teenused;NAKIS teenused;0;0;25.10.2011;;;;1;
SKA;Sotsiaalkindlustusameti teenused;Sotsiaalkindlustusameti teenused;Sotsiaalkindlustusameti teenused;0;0;25.10.2011;;;;1;
LB ;labori teenused;labori teenused;labori teenused;0;0;17.04.2012;;;;1;
TT;Tervisetõendi teenused;Tervisetõendi teenused;Tervisetõendi teenused;0;0;12.06.2012;;;;1;
TD;Tervisedeklaratsiooni teenused;Tervisedeklaratsiooni teenused;Tervisedeklaratsiooni teenused;0;0;12.06.2012;;;;1;
IA;Digiarhiivi teenused;Digiarhiivi teenused;Digiarhiivi teenused;0;0;13.03.2014;;;;1;
VS;Vähi sõeluuringute teenused;Vähi sõeluuringute teenused;Vähi sõeluuringute teenused;0;0;01.01.2015;;;;1;
IMM;Immuniseerimispassi teenused;Immuniseerimispassi teenused;Immuniseerimispassi teenused;0;0;01.07.2016;;;;1;
UNV;Vigaste dokumentide teenused;Vigaste dokumentide teenused;Vigaste dokumentide teenused;0;0;18.11.2016;;;;1;
ST;Surma fakti, põhjuse ja tõendi teenus;Surma fakti, põhjuse ja tõendi teenus;Surma fakti, põhjuse ja tõendi teenus;0;0;12.12.2017;;;;1;
DR_PORTAL;Digiregistratuuri portaali teenused;Digiregistratuuri portaali teenused;Digiregistratuuri portaali teenused;0;0;07.05.2018;;;;1;
TTSK;TSK tervishoiutöötajale teenused;TSK tervishoiutöötajale teenused;TSK tervishoiutöötajale teenused;0;0;16.04.2019;;;;1;
KRA_PORTAL;KRA portaali teenused;Kaitseressursside Ameti portaali teenused;Kaitseressursside Ameti portaali teenused;0;0;04.05.2022;;;;1;
CRG_MS;Covid-19 riskirühma mikroteenus;Covid-19 riskirühma mikroteenus;Covid-19 riskirühma mikroteenus;0;0;22.08.2022;;;;1;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
