Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus
ALLERGY;;allergia diagnoos;;;0;01.01.2008;;;1;
BY_ILLNESS;;kaasuva haiguse diagnoos;;;0;01.01.2008;;;1;
IMMCTR;;immuniseerimise vastunäidustuse diagnoos;;;0;01.01.2008;;;1;
IMMEFF;;immuniseerimise kõrvalnähu diagnoos;;;0;01.01.2008;;;1;
MAIN;;põhihaiguse diagnoos;;;0;01.01.2008;;;1;
MAIN_COMPL;;põhihaiguse tüsistuse diagnoos;;;0;01.01.2008;;;1;
OUTER;;välispõhjuse diagnoos;;;0;01.01.2008;;;1;
TNM;;vähkkasvaja diagnoosi TNM-i näitajad;;;0;01.01.2008;;;1;
PAT;;patomorfoloogiline diagnoos;;;0;05.03.2014;;;1;
CLIN;;kliiniline diagnoos;;;0;05.03.2014;;;1;
DEATH_DIR_CAUSE;;vahetu surmapõhjuse diagnoos;;;0;09.04.2018;;;1;
DEATH_PREV_CAUSE;;varasema surmapõhjuse diagnoos;;;0;09.04.2018;;;1;
DEATH_UNDERL_CAUSE;;surma algpõhjuse diagnoos;;;0;09.04.2018;;;1;
DEATH_OTHER_COND;;muude surma soodustanud oluliste seisundite diagnoos;;;0;09.04.2018;;;1;
PRN_DEATH_MAIN_CAUSE;;peamise lapse (loote) haiguse või seisundi, mis põhjustas surma, diagnoos;;;0;09.04.2018;;;1;
PRN_DEATH_OTHER_CAUSE;;teise lapse (loote) haiguse või seisundi, mis põhjustas surma, diagnoos;;;0;09.04.2018;;;1;
PRN_DEATH_MAIN_CAUSE_MOTHER;;peamise emapoolse haiguse või seisundi, mis põhjustas lapse (loote) surma, diagnoos;;;0;09.04.2018;;;1;
PRN_DEATH_OTHER_CAUSE_MOTHER;;teise emapoolse haiguse või seisundi, mis põhjustas lapse (loote) surma, diagnoos;;;0;09.04.2018;;;1;
PRN_DEATH_ACCOMP_COND;;muu kaasneva seisundi diagnoos;;;0;09.04.2018;;;1;
