KOOD;LÜHINIMETUS;NIMETUS;PIKK_NIMETUS;VANEM_KOOD;HIERARHIA_ASTE;KEHTIVUSE_ALGUSE_KPV;KEHTIVUSE_LÕPU_KPV;VIIMANE_MUUDATUS_KPV;MUUTJA;STAATUS;SELGITUS
A01;kõhuliasendis uurija käel tekib momendiks sirutus;kõhuliasendis uurija käel tekib momendiks sirutus;kõhuliasendis uurija käel tekib momendiks sirutus;;;1.01.2008;;;Eesti E-tervise SA;1;
A02;osaline sirutus - ei tõsta pead;osaline sirutus - ei tõsta pead;osaline sirutus - ei tõsta pead;;;1.01.2008;;;Eesti E-tervise SA;1;
A03;osaline sirutus - ei tõsta jalgu;osaline sirutus - ei tõsta jalgu;osaline sirutus - ei tõsta jalgu;;;1.01.2008;;;Eesti E-tervise SA;1;
A04;osaline sirutus - vajub külje suunas;osaline sirutus - vajub külje suunas;osaline sirutus - vajub külje suunas;;;1.01.2008;;;Eesti E-tervise SA;1;
A05;"sirutust ei teki (""märja pesu"" sümptom)";"sirutust ei teki (""""märja pesu"""" sümptom)""";"sirutust ei teki (""""märja pesu"""" sümptom)""";;;1.01.2008;;;Eesti E-tervise SA;1;
A06;kindel pea tõstmine kõhuliasendist käsivarre toetusega;kindel pea tõstmine kõhuliasendist käsivarre toetusega;kindel pea tõstmine kõhuliasendist käsivarre toetusega;;;1.01.2008;;;Eesti E-tervise SA;1;
A07;asümmeetriline hoiak;asümmeetriline hoiak;asümmeetriline hoiak;;;1.01.2008;;;Eesti E-tervise SA;1;
A08;ei hoia pead;ei hoia pead;ei hoia pead;;;1.01.2008;;;Eesti E-tervise SA;1;
A09;aeglaselt istesse tõmbamisel on käed küünarnukkist painutatud ja pea on kerega ühel tasemel;aeglaselt istesse tõmbamisel on käed küünarnukkist painutatud ja pea on kerega ühel tasemel;aeglaselt istesse tõmbamisel on käed küünarnukkist painutatud ja pea on kerega ühel tasemel;;;1.01.2008;;;Eesti E-tervise SA;1;
A10;istesse tõmbamisel vajub külje suunas;istesse tõmbamisel vajub külje suunas;istesse tõmbamisel vajub külje suunas;;;1.01.2008;;;Eesti E-tervise SA;1;
A11;istesse tõmbamisel ei fikseeri pead;istesse tõmbamisel ei fikseeri pead;istesse tõmbamisel ei fikseeri pead;;;1.01.2008;;;Eesti E-tervise SA;1;
A12;kõhuliasendis toetub sirgetele kätele, tõstes üles rindkere ja kõhu ülemise osa, jalad ja sääred tõstetud;kõhuliasendis toetub sirgetele kätele, tõstes üles rindkere ja kõhu ülemise osa, jalad ja sääred tõstetud;kõhuliasendis toetub sirgetele kätele, tõstes üles rindkere ja kõhu ülemise osa, jalad ja sääred tõstetud;;;1.01.2008;;;Eesti E-tervise SA;1;
A13;kõhuliasendis toetub käsivarrele kõhuliasendis;kõhuliasendis toetub käsivarrele kõhuliasendis;kõhuliasendis toetub käsivarrele kõhuliasendis;;;1.01.2008;;;Eesti E-tervise SA;1;
A14;kõhuliasendis tõstab pead lühiajaliselt või üldse mitte;kõhuliasendis tõstab pead lühiajaliselt või üldse mitte;kõhuliasendis tõstab pead lühiajaliselt või üldse mitte;;;1.01.2008;;;Eesti E-tervise SA;1;
A15;pöörab kõhuliasendist selili;pöörab kõhuliasendist selili;pöörab kõhuliasendist selili;;;1.01.2008;;;Eesti E-tervise SA;1;
A16;pöörab kõhuliasendist külili;pöörab kõhuliasendist külili;pöörab kõhuliasendist külili;;;1.01.2008;;;Eesti E-tervise SA;1;
A17;ei pööra kõhuliasendist;ei pööra kõhuliasendist;ei pööra kõhuliasendist;;;1.01.2008;;;Eesti E-tervise SA;1;
A18;tuleb ise istuma ja istub piiramatu aja;tuleb ise istuma ja istub piiramatu aja;tuleb ise istuma ja istub piiramatu aja;;;1.01.2008;;;Eesti E-tervise SA;1;
A19;vajab istumisel käe(käte) toetust;vajab istumisel käe(käte) toetust;vajab istumisel käe(käte) toetust;;;1.01.2008;;;Eesti E-tervise SA;1;
A20;ei istu;ei istu;ei istu;;;1.01.2008;;;Eesti E-tervise SA;1;
A21;seisab hästi ja piiramatu aja toe najal;seisab hästi ja piiramatu aja toe najal;seisab hästi ja piiramatu aja toe najal;;;1.01.2008;;;Eesti E-tervise SA;1;
A22;seisab lühiajaliselt toe najal;seisab lühiajaliselt toe najal;seisab lühiajaliselt toe najal;;;1.01.2008;;;Eesti E-tervise SA;1;
A23;ei seisa;ei seisa;ei seisa;;;1.01.2008;;;Eesti E-tervise SA;1;
A24;vaba kindel käik laiaulatusliku perfektse tasakaalukontrolliga ja koordineeritud käte tegevusega;vaba kindel käik laiaulatusliku perfektse tasakaalukontrolliga ja koordineeritud käte tegevusega;vaba kindel käik laiaulatusliku perfektse tasakaalukontrolliga ja koordineeritud käte tegevusega;;;1.01.2008;;;Eesti E-tervise SA;1;
A25;käimisel puudub kindlus, puudub käte koordineeritud tegevus;käimisel puudub kindlus, puudub käte koordineeritud tegevus;käimisel puudub kindlus, puudub käte koordineeritud tegevus;;;1.01.2008;;;Eesti E-tervise SA;1;
A26;ei käi iseseisvalt;ei käi iseseisvalt;ei käi iseseisvalt;;;1.01.2008;;;Eesti E-tervise SA;1;
A27;vaba jooks (jookseb ümber takistuse, ebatasasel pinnal, selg ees);vaba jooks (jookseb ümber takistuse, ebatasasel pinnal, selg ees);vaba jooks (jookseb ümber takistuse, ebatasasel pinnal, selg ees);;;1.01.2008;;;Eesti E-tervise SA;1;
A28;jooks ebaühtlane;jooks ebaühtlane;jooks ebaühtlane;;;1.01.2008;;;Eesti E-tervise SA;1;
A29;ei jookse;ei jookse;ei jookse;;;1.01.2008;;;Eesti E-tervise SA;1;
A30;suudab seista ühel jalal lühiajaliselt abita, seisab ja käib varvastel ja kandadel, käib mööda joonistatud joont, hüppab koos jalgadega trepi valumiselt astmelt (parem, vasak eraldi);suudab seista ühel jalal lühiajaliselt abita, seisab ja käib varvastel ja kandadel, käib mööda joonistatud joont, hüppab koos jalgadega trepi valumiselt astmelt (parem, vasak eraldi);suudab seista ühel jalal lühiajaliselt abita, seisab ja käib varvastel ja kandadel, käib mööda joonistatud joont, hüppab koos jalgadega trepi valumiselt astmelt (parem, vasak eraldi);;;1.01.2008;;;Eesti E-tervise SA;1;
A31;sooritab 2 komponenti neist: suudab seista ühel jalal lühiajaliselt abita, seisab ja käib varvastel ja kandadel, käib mööda joonistatud joont, hüppab koos jalgadega trepi valumiselt astmelt (parem, vasak eraldi);sooritab 2 komponenti neist: suudab seista ühel jalal lühiajaliselt abita, seisab ja käib varvastel ja kandadel, käib mööda joonistatud joont, hüppab koos jalgadega trepi valumiselt astmelt (parem, vasak eraldi);sooritab 2 komponenti neist: suudab seista ühel jalal lühiajaliselt abita, seisab ja käib varvastel ja kandadel, käib mööda joonistatud joont, hüppab koos jalgadega trepi valumiselt astmelt (parem, vasak eraldi);;;1.01.2008;;;Eesti E-tervise SA;1;
A32;ei soorita ühtegi komponenti neist: sooritab 2 komponenti neist: suudab seista ühel jalal lühiajaliselt abita, seisab ja käib varvastel ja kandadel, käib mööda joonistatud joont, hüppab koos jalgadega trepi valumiselt astmelt (parem, vasak eraldi);ei soorita ühtegi komponenti neist: sooritab 2 komponenti neist: suudab seista ühel jalal lühiajaliselt abita, seisab ja käib varvastel ja kandadel, käib mööda joonistatud joont, hüppab koos jalgadega trepi valumiselt astmelt (parem, vasak eraldi);ei soorita ühtegi komponenti neist: sooritab 2 komponenti neist: suudab seista ühel jalal lühiajaliselt abita, seisab ja käib varvastel ja kandadel, käib mööda joonistatud joont, hüppab koos jalgadega trepi valumiselt astmelt (parem, vasak eraldi);;;1.01.2008;;;Eesti E-tervise SA;1;
