Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
270479002;Hamba üldstaatus;Hamba üldstaatus;Hamba üldstaatus;;0;31.01.2015;;;Eesti Hambaarstide Liit;1;
T;Terve hammas;Terve hammas;Terve hammas;270479002;1;31.01.2015;;;Eesti Hambaarstide Liit;1;
-;Suhu lõikumata hammas;Suhu lõikumata hammas;Suhu lõikumata hammas (näha röntgenülevõttel) ;270479002;1;31.01.2015;;;Eesti Hambaarstide Liit;1;
=;Sünnipäraselt puuduv hammas;Sünnipäraselt puuduv hammas;Sünnipäraselt puuduv hammas (pole näha ka röntgenülesvõttelt);270479002;1;31.01.2015;;;Eesti Hambaarstide Liit;1;
X;Eemaldatud hammas;Eemaldatud hammas;Eemaldatud hammas;270479002;1;31.01.2015;;;Eesti Hambaarstide Liit;1;
0;Suhu lõikuv hammas;Suhu lõikuv hammas;Suhu lõikuv hammas  (osaliselt suhu lõikunud hammas);270479002;1;31.01.2015;;;Eesti Hambaarstide Liit;1;
80967001;Kaaries;Kaaries;Kaaries;;0;31.01.2015;;;Eesti Hambaarstide Liit;1;
Ce;Emailikaaries;Emailikaaries;Emailikaaries (mittepeetunud) (Caries enameli);80967001;1;31.01.2015;;;Eesti Hambaarstide Liit;1;
Cr;Remineraliseerunud emailikaaries;Remineraliseerunud emailikaaries;Remineraliseerunud (peetunud) emailikaaries;80967001;1;31.01.2015;;;Eesti Hambaarstide Liit;1;
Cp;Sügav kaaries;Sügav kaaries;Sügav dentiinikaaries  (Caries profunda dentini);80967001;1;31.01.2015;;;Eesti Hambaarstide Liit;1;
Cc;Juurekaaries;Hambajuurekaaries ;Hambajuure pinna kaaries  (Caries cementi) ;80967001;1;31.01.2015;;;Eesti Hambaarstide Liit;1;
Cs;Sekundaarne kaaries;Sekundaarne kaaries;Sekundaarne kaaries (Caries secundaris);80967001;1;31.01.2015;;;Eesti Hambaarstide Liit;1;
Cd;Dentiinikaaries;Dentiinikaaries;Dentiinikaaries (Caries dentini);80967001;1;31.01.2015;;;Eesti Hambaarstide Liit;1;
Ck;Kaariese kahtlus;Kaariese kahtlus;Kaariese kahtlus;80967001;;31.01.2015;;;Eesti Hambaarstide Liit;1;
