Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus
01;;Farmakoloogiline;;;0;16.05.2019;;;1;
02;;Mittefarmakoloogiline;;;0;16.05.2019;;;1;
03;;Külma kasutamine;;02;1;16.05.2019;;;1;
04;;Sooja kasutamine;;02;1;16.05.2019;;;1;
05;;Tähelepanu kõrvalejuhtimine ;;02;1;16.05.2019;;;1;
06;;Visualiseerimine;;02;1;16.05.2019;;;1;
07;;Massaaž;;02;1;16.05.2019;;;1;
08;;Puudutamine;;02;1;16.05.2019;;;1;
09;;Asendravi;;02;1;16.05.2019;;;1;
10;;Muusika kuulamine;;02;1;16.05.2019;;;1;
11;;Lihaste lõdvestamine;;02;1;16.05.2019;;;1;
12;;Hingamine;;02;1;16.05.2019;;;1;
13;;Liikumine;;02;1;16.05.2019;;;1;
14;;Kognitiiv-käitumuslik teraapia;;02;1;16.05.2019;;;1;
99;;Muu, täpsustage;;02;1;16.05.2019;;;1;
