Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus
01;;Füüsiline pingutus;;;0;16.05.2019;;;1;
02;;Liigutamine;;;0;16.05.2019;;;1;
03;;Asendimuutus;;;0;16.05.2019;;;1;
04;;Söömine ;;;0;16.05.2019;;;1;
05;;Joomine;;;0;16.05.2019;;;1;
06;;Köhimine;;;0;16.05.2019;;;1;
07;;Hingamine ;;;0;16.05.2019;;;1;
08;;Puudutus;;;0;16.05.2019;;;1;
09;;Stress, ärevus;;;0;16.05.2019;;;1;
10;;Ere valgus;;;0;16.05.2019;;;1;
11;;Muu, täpsustage;;;0;16.05.2019;;;1;
