Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
A;perifeerne veen;perifeerne veen;perifeerne veen;;0;1.01.2012;;;EKL,TA;1;
A1;käeselg;käeselg;käeselg;A;1;1.01.2012;;;EKL,TA;1;
A2;käsivars;käsivars;käsivars;A;1;1.01.2012;;;EKL,TA;1;
A3;küünarauk;küünarauk;küünarauk;A;1;1.01.2012;;;EKL,TA;1;
A4;õlavars;õlavars;õlavars;A;1;1.01.2012;;;EKL,TA;1;
A5;kael;kael;kael;A;1;1.01.2012;;;EKL,TA;1;
A6;kube;kube;kube;A;1;1.01.2012;;;EKL,TA;1;
A7;jalg;jalg;jalg;A;1;1.01.2012;;;EKL,TA;1;
A8;pea;pea;pea;A;1;1.01.2012;;;EKL,TA;1;
A9;nabaveen;nabaveen;nabaveen;A;1;1.01.2012;;;EKL,TA;1;
A10;muu (täpsustus);muu (täpsustus);muu (täpsustus);A;1;1.01.2012;;;EKL,TA;1;
B;tsentraalne veen;tsentraalne veen;tsentraalne veen;;0;1.01.2012;;;EKL,TA;1;
B1;kägiveen;kägiveen;kägiveen;B;1;1.01.2012;;;EKL,TA;1;
B2;rangluualune veen;rangluualune veen;rangluualune veen;B;1;1.01.2012;;;EKL,TA;1;
B3;reieveen;reieveen;reieveen;B;1;1.01.2012;;;EKL,TA;1;
B4;muu (täpsustus);muu (täpsustus);muu (täpsustus);B;1;1.01.2012;;;EKL,TA;1;
