KOOD;LÜHINIMETUS;NIMETUS;PIKK_NIMETUS;VANEM_KOOD;HIERARHIA_ASTE;KEHTIVUSE_ALGUSE_KPV;KEHTIVUSE_LÕPU_KPV;VIIMANE_MUUDATUS_KPV;MUUTJA;STAATUS;SELGITUS
AMWM-001;DL rakenduse töös esines tehniline tõrge;DL rakenduse töös esines tehniline tõrge. Palun proovige mõne aja pärast uuesti. Vea kordumisel palun võtke ühendust DL kesksüsteemi administraatoriga ja kirjeldage võimalikult täpselt veaolukorrani viinud tegevusi.;DL rakenduse töös esines tehniline tõrge. Palun proovige mõne aja pärast uuesti. Vea kordumisel palun võtke ühendust DL kesksüsteemi administraatoriga ja kirjeldage võimalikult täpselt veaolukorrani viinud tegevusi.;0;0;07.09.2007;;;;1;
AMWM-002;Autoriseerimine ebaõnnestus;Autoriseerimine ebaõnnestus (puuduvad õigused digiloo kasutamiseks);Autoriseerimine ebaõnnestus (puuduvad õigused digiloo kasutamiseks);0;0;08.09.2007;;;;1;
AMWM-002.01;Tervishoiutöötaja on Terviseametis registreerimata!;Tervishoiutöötaja on Terviseametis registreerimata!;Tervishoiutöötaja on Terviseametis registreerimata!;0;0;06.11.2015;;;;1;
AMWM-002.02;Tervishoiuasutus on Terviseametis registreerimata!;Tervishoiuasutus on Terviseametis registreerimata!;Tervishoiuasutus on Terviseametis registreerimata!;0;0;06.11.2015;;;;1;
AMWM-002.03;Tervishoiuasutuse litsents on aegunud!;Tervishoiuasutuse litsents on aegunud!;Tervishoiuasutuse litsents on aegunud!;0;0;06.11.2015;;;;1;
AMWM-002.04;Tervishoiutöötaja ja TTO seos Terviseametis puudub!;Tervishoiutöötaja ja TTO seos Terviseametis puudub!;Tervishoiutöötaja ja TTO seos Terviseametis puudub!;0;0;06.11.2015;;;;1;
AMWM-002.05;Autori andmetes on kasutatud lubamatut tervishoiutöötaja OID-i!;Autori andmetes on kasutatud lubamatut tervishoiutöötaja OID-i!;Autori andmetes on kasutatud lubamatut tervishoiutöötaja OID-i!;0;0;06.11.2015;;;;1;
AMWM-002.06;Autori andmetes on kasutatud lubamatut asutuse OID-i!;Autori andmetes on kasutatud lubamatut asutuse OID-i!;Autori andmetes on kasutatud lubamatut asutuse OID-i!;0;0;06.11.2015;;;;1;
AMWM-002.07;Tervishoiutöötaja registreerimiskood ei vasta nõuetele;Tervishoiutöötaja registreerimiskood ei vasta nõuetele (lubatud on täht D,N, M ja 5 kohaline number)!;Tervishoiutöötaja registreerimiskood ei vasta nõuetele (lubatud on täht D,N, M ja 5 kohaline number)!;0;0;06.11.2015;;;;1;
AMWM-003;Veatekst puudub!;Veatekst puudub! Kirjeldada veakoodile vastav veaolukord.;Veatekst puudub! Kirjeldada veakoodile vastav veaolukord.;0;0;09.09.2007;;;;1;
AMWM-004;Valideerimine ebaõnnestus!;Valideerimine ebaõnnestus!;Valideerimine ebaõnnestus!;0;0;10.09.2007;;;;1;
