Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus
EEK01;endokrinoloogi e-konsultatsioon;endokrinoloogi e-konsultatsioon;;;0;01.07.2016;;;1;
EHE01;hematoloogi e-konsultatsioon;hematoloogi e-konsultatsioon;;;0;01.07.2016;;;1;
EKA01;kardioloogi e-konsultatsioon;kardioloogi e-konsultatsioon;;;0;01.07.2016;;;1;
ENE01;neuroloogi e-konsultatsioon;neuroloogi e-konsultatsioon;;;0;01.07.2016;;;1;
EOT01;otorinolarüngoloogi  e-konsultatsioon;otorinolarüngoloogi  e-konsultatsioon;;;0;01.07.2016;;;1;
EPE01;pediaatri e-konsultatsioon;pediaatri e-konsultatsioon;;;0;01.07.2016;;;1;
EPU01;pulmonoloogi e-konsultatsioon;pulmonoloogi e-konsultatsioon;;;0;01.07.2016;;;1;
ERE01;reumatoloogi e-konsultatsioon;reumatoloogi e-konsultatsioon;;;0;01.07.2016;;;1;
EUR01;uroloogi e-konsultatsioon;uroloogi e-konsultatsioon;;;0;01.07.2016;;;1;
EOR01;ortopeedi e-konsultatsioon;ortopeedi e-konsultatsioon;;;0;01.07.2016;;;1;
EGE01;gastroenteroloogi e-konsultatsioon;gastroenteroloogi e-konsultatsioon;;;0;01.07.2016;;;1;
EON01;onkoloogi e-konsultatsioon;onkoloogi e-konsultatsioon;;;0;01.07.2016;;;1;
EAI01;allergoloog-immunoloogi e-konsultatsioon;allergoloog-immunoloogi e-konsultatsioon;;;0;01.07.2016;;;1;
ENF01;nefroloogi e-konsultatsioon;nefroloogi e-konsultatsioon;;;0;04.04.2022;;;1;
EPS01;psühhiaatri e-konsultatsioon;psühhiaatri e-konsultatsioon;;;0;04.04.2022;;;1;
ESI01;sisehaiguste arsti e-konsultatsioon;sisehaiguste arsti e-konsultatsioon;;;0;04.04.2022;;;1;
EGK01;günekoloogi e-konsultatsioon;günekoloogi e-konsultatsioon;;;0;04.04.2022;;;1;
EVK01;veresoontekirurgi e-konsultatsioon;veresoontekirurgi e-konsultatsioon;;;0;04.04.2022;;;1;
EVR01;valuraviarsti e-konsultatsioon;valuraviarsti e-konsultatsioon;;;0;04.04.2022;;;1;
ETR01;taastusarsti e-konsultatsioon;taastusarsti e-konsultatsioon;;;0;04.04.2022;;;1;
ENS01;naha- ja suguhaiguste arsti e-konsultatsioon;naha- ja suguhaiguste arsti e-konsultatsioon;;;0;04.04.2022;;;1;
ELP01;lastepsühhiaatri e-konsultatsioon;lastepsühhiaatri e-konsultatsioon;;;0;04.04.2022;;;1;
EAD01;meestearsti e-konsultatsioon;meestearsti e-konsultatsioon;;;0;04.04.2022;;;1;
EUK01;üldkirurgi e-konsultatsioon;üldkirurgi e-konsultatsioon;;;0;04.04.2022;;;1;
EIK01;infektsionisti e-konsultatsioon;infektsionisti e-konsultatsioon;;;0;04.04.2022;;;1;
EMG01;geneetiku e-konsultatsioon;geneetiku e-konsultatsioon;;;0;04.04.2022;;;1;
ENK01;neurokirurgi e-konsultatsioon;neurokirurgi e-konsultatsioon;;;0;04.04.2022;;;1;
ESL01;suu-, näo- ja lõualuukirurgi e-konsultatsioon;suu-, näo- ja lõualuukirurgi e-konsultatsioon;;;0;04.04.2022;;;1;
ELK01;lastekirurgi e-konsultatsioon;lastekirurgi e-konsultatsioon;;;0;04.04.2022;;;1;
ELS01;lastesilmaarsti e-konsultatsioon;lastesilmaarsti e-konsultatsioon;;;0;04.04.2022;;;1;
ELO01;silmaarsti e-konsultatsioon;silmaarsti e-konsultatsioon;;;0;04.04.2022;;;1;
EPK01;plastika- ja rekonstruktiivkirurgi e-konsultatsioon;plastika- ja rekonstruktiivkirurgi e-konsultatsioon;;;0;04.04.2022;;;1;
EOD01;ortodondi e-konsultatsioon;ortodondi e-konsultatsioon;;;0;04.04.2022;;;1;
